player,age,minutes_90s,team,position,tackles,interceptions,club,goals_assists_per90,passes_pct,dribbles_completed_pct,sca_per90,team_cont
Mario Pašalić,27,3.0,Croatia,FW,0.7142857142857143,1.0,Atalanta,0.0,80.0,0.0,1.5,Europe
Marko Livaja,29,2.7,Croatia,FW,1.0,0.37037037037037035,Hajduk Split,0.75,60.3,0.0,1.19,Europe
Martin Braithwaite,31,1.1,Denmark,FW,0.0,0.0,Espanyol,0.0,70.0,50.0,2.62,Europe
Martinelli,21,1.3,Brazil,FW,0.5,0.0,Arsenal,0.0,75.6,30.0,6.37,South America
Mattéo Guendouzi,23,0.9,France,FW,1.0,0.0,Marseille,0.0,81.8,,0.0,Europe
Mehdi Taremi,30,3.0,IR Iran,FW,0.75,0.6666666666666666,Porto,1.0,74.4,11.1,3.67,Asia
Memphis,28,3.3,Netherlands,FW,1.0,0.30303030303030304,Barcelona,0.3,75.6,18.2,1.51,Europe
Michael Estrada,26,2.5,Ecuador,FW,0.0,0.0,Cruz Azul,0.0,56.0,66.7,1.6,South America
Michy Batshuayi,29,1.7,Belgium,FW,0.0,0.0,Fenerbahçe,0.6,66.7,33.3,1.19,Europe
Mislav Oršić,29,1.8,Croatia,FW,1.0,0.0,Dinamo Zagreb,1.67,74.1,33.3,4.5,Europe
Mitchell Duke,31,3.0,Australia,FW,0.0,0.6666666666666666,Fagi Okayama,0.33,57.1,50.0,1.67,Oceania
Mohammed Muntari,28,0.7,Qatar,FW,1.0,0.0,Al Duhail SC,1.43,89.5,,1.43,Asia
Moumi Ngamaleu,28,1.1,Cameroon,FW,0.3333333333333333,0.0,Dynamo Mosc,0.0,84.0,50.0,1.89,Africa
Na Sang-ho,26,1.3,Korea Republic,FW,0.25,0.0,FC Seoul,0.0,64.9,0.0,3.03,Asia
Niclas Füllkrug,29,0.8,Germany,FW,0.0,0.0,Werder Bremen,3.91,62.5,100.0,5.22,Europe
Nico Williams,20,1.6,Spain,FW,0.5,0.0,Athletic Club,0.0,79.4,31.3,0.62,Europe
Nikola Vlašić,25,2.3,Croatia,FW,1.0,0.4347826086956522,Torino,0.0,81.8,33.3,2.29,Europe
Olivier Giroud,36,4.7,France,FW,0.0,0.2127659574468085,Milan,0.86,64.9,,1.08,Europe
Ousmane Dembélé,25,4.8,France,FW,0.5454545454545454,0.625,Barcelona,0.42,75.4,39.1,3.53,Europe
Pedro,25,0.7,Brazil,FW,1.0,1.4285714285714286,Flamengo,0.0,76.9,,0.0,South America
Phil Foden,22,2.9,England,FW,1.0,0.3448275862068966,Manchester City,1.05,76.9,50.0,3.49,Europe
Rafael Leão,23,1.0,Portugal,FW,0.0,1.0,Milan,2.05,68.1,66.7,5.11,Europe
Raheem Sterling,28,1.7,England,FW,1.0,0.5882352941176471,Chelsea,1.21,81.8,66.7,2.42,Europe
Randal Kolo Muani,24,2.0,France,FW,0.7142857142857143,0.5,Eint Frankfurt,0.49,56.8,37.5,0.59,Europe
Raphinha,26,3.5,Brazil,FW,0.75,0.8571428571428571,Barcelona,0.29,74.0,26.7,5.43,South America
Raúl Jiménez,31,0.7,Mexico,FW,0.0,1.4285714285714286,Wolves,0.0,62.5,,0.0,North America
Ricardo Horta,28,1.3,Portugal,FW,0.5,0.7692307692307692,Braga,0.76,67.4,,2.27,Europe
Richarlison,25,3.6,Brazil,FW,1.0,0.2777777777777778,Tottenham,0.84,69.0,0.0,1.95,South America
Riley McGree,24,2.9,Australia,FW,0.5,1.7241379310344829,Middlesbrough,0.34,76.0,0.0,1.7,Oceania
Ritsu Doan,24,2.4,Japan,FW,0.8333333333333334,1.25,Freiburg,0.83,64.3,50.0,2.07,Asia
Robert Lewandowski,34,4.0,Poland,FW,1.0,0.25,Barcelona,0.75,67.0,41.7,3.5,Europe
Romelu Lukaku,29,0.6,Belgium,FW,0.0,0.0,Inter,0.0,66.7,100.0,1.64,Europe
Ruben Vargas,24,3.2,Switzerland,FW,0.0,0.3125,Augsburg,0.32,68.4,14.3,2.21,Europe
Saleh Al-Shehri,29,2.5,Saudi Arabia,FW,0.3333333333333333,0.0,Al-Hilal,0.4,61.7,0.0,0.81,Asia
Sardar Azmoun,27,1.4,IR Iran,FW,0.0,0.0,Leverkusen,0.0,60.0,0.0,2.14,Asia
Serge Gnabry,27,2.9,Germany,FW,0.4,0.6896551724137931,Bayern Munich,0.68,72.9,60.0,4.11,Europe
Sofiane Boufal,29,5.3,Morocco,FW,0.45454545454545453,0.37735849056603776,Angers,0.0,74.4,51.9,2.84,Africa
Son Heung-min,30,4.0,Korea Republic,FW,0.4,0.5,Tottenham,0.25,67.0,20.0,4.0,Asia
Steven Bergwijn,25,2.4,Netherlands,FW,1.0,0.0,Ajax,0.0,88.9,25.0,0.85,Europe
